id,x,y
A57,468,147
A55,468,167
A53,468,187
A51,468,209
A49,468,230
A47,468,251
A45,468,271
A43,468,290
A41,468,306
A39,468,323
A37,468,337
A35,468,352
A33,468,368
A31,468,382
A29,468,397
A27,468,413
A25,468,432
A23,468,451
A21,468,468
A19,468,482
A17,468,500
A15,468,517
A13,468,533
A11,468,551
A9,468,568
A7,468,583
A5,468,599
A3,468,615
A1,468,629
A46,488,148
A44,488,171
A42,488,194
A40,488,214
A38,488,235
A36,488,259
A34,488,282
A32,488,303
A30,488,323
A28,488,344
A26,488,366
A24,488,389
A22,488,411
A20,488,431
A18,488,451
A16,488,475
A14,488,500
A12,488,522
A10,488,543
A8,488,562
A6,488,581
A4,488,604
A2,488,626
B47,700,145
B45,700,165
B43,700,189
B41,700,214
B39,700,237
B37,700,260
B35,700,285
B33,700,309
B31,700,330
B29,700,352
B27,700,374
B25,700,397
B23,700,419
B21,700,442
B19,700,463
B17,700,483
B15,700,501
B13,700,519
B11,700,539
B9,700,556
B7,700,574
B5,700,592
B3,700,609
B1,700,627
B46,720,151
B42,720,179
B40,720,204
B38,720,228
B36,720,250
B34,720,272
B32,720,292
B30,720,313
B28,720,335
B26,720,359
B24,720,383
B22,720,404
B20,720,424
B18,720,445
B16,720,467
B14,720,487
B12,720,506
B10,720,526
B8,720,546
B6,720,566
B4,720,596
B2,720,626